"Index"	"wd"	"word_filtered"	"lemma_dk"	"lemma_en"	"token_freq"	"lemma_freq"	"in_binder"	"side"	"voice"	"her"	"der"	"jeg"	"du"	"hvad"	"hvor"	"hvem"	"hvorfor"	"hvordan"	"pron"	"prep"	"func"	"start"	"end"	"sent_nr"	"sent_dur"	"pos_in_sent"	"pos_to_end_sent"	"turn_nr"	"turn_offset"	"turn_dur"	"pos_in_turn"	"pos_to_end_turn"	"onsets_plus_constant"	"Motion_PC"	"Scene_PC"	"Near_PC"	"Landmark"	"Path"	"Scene"	"Near"	"Toward"	"Away"	"det"	"han"
"1"	1	"Er"	"er"	"være"	"be"	127	199	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	1	0	0	1	12	0.177331972122	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"2"	2	"her"	"her"	"her"	"here"	80	80	"n"	"left"	"m"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	2	1	0	0	2	11	0.305038976669	0.336593338630228	0.451888413350025	0.171419819923031	0.450279861688614	0.207043543457985	1.96184682846069	1.24520659446716	0.0628133341670036	0.333855122327805	0	0
"3"	3	"nogen?"	"nogen"	"nogen"	"anyone"	19	53	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	3	3	1	1	0	0	3	10	0.45622997284	0.483677596282925	-0.863604196229504	-0.350735049320118	-0.111736655235291	0.555812299251556	1.20570623874664	0.290480673313141	0.290112763643265	0.479632288217545	0	0
"4"	4	"Jeg"	"jeg"	"jeg"	"i"	100	126	"n"	"left"	"m"	0	0	1	0	0	0	0	0	0	1	0	1	1	0	2	0	1	4	1	0	0	4	9	1.31362895966	0.507783443831407	0.960317419017706	1.03912072620811	0.646580457687378	0.188793405890465	1.86531031131744	1.76988220214844	0.580418705940247	-0.472306728363037	0	0
"5"	5	"kan"	"kan"	"kunne"	"can"	36	42	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	3	1	0	0	5	8	1.47583799363	0.712888635655206	0.667199538723239	0.00050934428406485	0.959387183189392	0.15359528362751	1.42862522602081	0.978736102581024	-0.124643497169018	0.209705337882042	0	0
"6"	6	"høre"	"høre"	"høre"	"hear"	4	16	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2	1	0	0	6	7	1.63816790581	-0.606520668665225	-0.637299324292595	-0.756435158857088	0.440227597951889	0.639798641204834	1.82254409790039	0.0656071379780769	0.695970892906189	0.939955055713654	0	0
"7"	7	"noget."	"noget"	"nogen"	"anyone"	31	53	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	4	4	1	1	0	0	7	6	1.95376210213	0.483677596282925	-0.863604196229504	-0.350735049320118	-0.111736655235291	0.555812299251556	1.20570623874664	0.290480673313141	0.290112763643265	0.479632288217545	0	0
"8"	8	"Siig"	"sige"	"sige"	"say"	8	32	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	2	1	0	0	8	5	2.67211489678	-0.873376163940447	-0.225103067759901	-0.124224969212493	0.182324945926666	0.53125387430191	2.48412871360779	1.01987063884735	0.659181654453278	0.912900745868683	0	0
"9"	9	"noget."	"noget"	"nogen"	"anyone"	31	53	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	2	1	1	0	0	9	4	2.98605589867	0.483677596282925	-0.863604196229504	-0.350735049320118	-0.111736655235291	0.555812299251556	1.20570623874664	0.290480673313141	0.290112763643265	0.479632288217545	0	0
"10"	10	"Hvor"	"hvor"	"hvor"	"where"	40	40	"n"	"left"	"m"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	1	3	1	0	0	10	3	3.73025302887	1.01497297444912	1.67561981335764	0.402730291220256	1.25408351421356	-0.239425346255302	1.98664844036102	1.23333537578583	0.0484384298324585	-0.363847821950912	0	0
"11"	11	"er"	"er"	"være"	"be"	127	199	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	2	1	0	0	11	2	3.9611878872	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"12"	12	"du."	"du"	"du"	"you"	100	141	"n"	"left"	"m"	0	0	0	1	0	0	0	0	0	1	0	1	0	1	4	3	3	1	1	1	12	12	1	4.01922802925	0.107571401583703	-0.0408333846657695	1.34009177895258	0.106431804597378	0.414220213890076	1.42227685451508	2.12437057495117	0.68094265460968	0.00115051143802702	0	0
"13"	13	"Hallo."	"hallo"	"hallo"	"hello"	1	1	"n"	"right"	"f"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	1	1	1	2	0	0	1	5	4.9724600792	-0.245377392287011	0.987426775452941	-0.346445189134206	0.993493854999542	0.102602198719978	2.75078725814819	0.505928337574005	0.690884649753571	0.263183444738388	0	0
"14"	14	"Jeg"	"jeg"	"jeg"	"i"	100	126	"n"	"right"	"f"	0	0	1	0	0	0	0	0	0	1	0	1	1	0	6	0	1	4	2	0	0	2	4	5.65769796372	0.507783443831407	0.960317419017706	1.03912072620811	0.646580457687378	0.188793405890465	1.86531031131744	1.76988220214844	0.580418705940247	-0.472306728363037	0	0
"15"	15	"er"	"er"	"være"	"be"	127	199	"n"	"right"	"f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	3	2	0	0	3	3	5.92424302101	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"16"	16	"her"	"her"	"her"	"here"	80	80	"n"	"right"	"f"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	3	2	2	0	0	4	2	5.97075109482	0.336593338630228	0.451888413350025	0.171419819923031	0.450279861688614	0.207043543457985	1.96184682846069	1.24520659446716	0.0628133341670036	0.333855122327805	0	0
"17"	17	"ovre!"	"ovre"	"ovre"	"upper"	45	45	"n"	"right"	"f"	0	0	0	0	0	0	0	0	0	0	1	1	0	1	6	4	4	1	2	1	5	5	1	6.11003904343	-4.32931134612553	4.4572001910709	-1.75082328041988	4.35030508041382	2.66702079772949	5.43163967132568	1.8025815486908	0.532035648822784	0.0915060341358185	0	0
"18"	18	"Det"	"det"	"det"	"that"	149	149	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	1	3	3	0	0	1	10	7.25970106125	1.41379864859633	0.0422243252362958	0.0445910731915506	0.334606140851974	0.0711764320731163	0.973927080631256	0.587828814983368	-0.082622617483139	-0.0270473901182413	1	0
"19"	19	"er"	"er"	"være"	"be"	127	199	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	2	2	3	0	0	2	9	7.35256700516	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"20"	20	"mørkt."	"mørkt"	"mørk"	"dark"	2	2	"y"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	3	3	1	3	0	0	3	8	7.45716505051	1.58236708572665	-1.28765612162852	-0.258575982368809	-0.459263116121292	0.230846092104912	0.464687407016754	-0.376725971698761	0.449793457984924	-0.00636334531009197	0	0
"21"	21	"Er"	"er"	"være"	"be"	127	199	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	1	7	3	0	0	4	7	8.28145198822	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"22"	22	"du"	"du"	"du"	"you"	100	141	"n"	"left"	"m"	0	0	0	1	0	0	0	0	0	1	0	1	0	0	8	0	2	6	3	0	0	5	6	8.4091580391	0.107571401583703	-0.0408333846657695	1.34009177895258	0.106431804597378	0.414220213890076	1.42227685451508	2.12437057495117	0.68094265460968	0.00115051143802702	0	0
"23"	23	"længere"	"længere"	"lang"	"long"	1	4	"y"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	5	3	0	0	6	5	8.571723032	0.857118299175697	-0.295414067305991	-0.303618794393054	0.274006694555283	0.288472294807434	1.16191256046295	0.389735281467438	0.0127652706578374	0.354376405477524	0	0
"24"	24	"dær"	"der"	"der"	"there"	144	144	"n"	"left"	"m"	0	1	0	0	0	0	0	0	0	0	0	1	0	0	8	0	4	4	3	0	0	7	4	8.98876695633	0.390964545623404	-0.677825222968476	-0.668155558724391	0.0989220216870308	1.04067325592041	1.11573386192322	0.571594893932343	-0.345628082752228	0.559990108013153	0	0
"25"	25	"nede"	"nede"	"nede"	"below"	27	27	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	3	3	0	0	8	3	9.29105501175	-2.83265279338688	-1.417143648968	-0.18817054216345	0.135985091328621	2.1555392742157	2.00060033798218	2.04699563980103	0.534047067165375	1.78361535072327	0	0
"26"	26	"ad"	"ad"	"ad"	"along"	1	1	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	8	0	6	2	3	0	0	9	2	9.61660008431	-2.85629501065133	0.396380950196788	-0.284594050106545	1.54503607749939	1.98509979248047	2.53523349761963	2.16814517974854	0.447920292615891	1.23606836795807	0	0
"27"	27	"stien?"	"stien"	"sti"	"path"	1	1	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	7	7	1	3	1	10	10	1	9.76757006646	-2.1596248384501	-1.935796023353	0.585984342292503	0.170327067375183	1.97307872772217	0.693263411521912	1.96233510971069	1.10171222686768	1.25306475162506	0	0
"28"	28	"Jeg"	"jeg"	"jeg"	"i"	100	126	"n"	"right"	"f"	0	0	1	0	0	0	0	0	0	1	0	1	1	0	9	0	1	3	4	0	0	1	3	10.9402199268	0.507783443831407	0.960317419017706	1.03912072620811	0.646580457687378	0.188793405890465	1.86531031131744	1.76988220214844	0.580418705940247	-0.472306728363037	0	0
"29"	29	"er"	"er"	"være"	"be"	127	199	"n"	"right"	"f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	2	4	0	0	2	2	11.2066650867	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"30"	30	"her."	"her"	"her"	"here"	80	80	"n"	"right"	"f"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	9	3	3	1	4	1	3	3	1	11.3349559784	0.336593338630228	0.451888413350025	0.171419819923031	0.450279861688614	0.207043543457985	1.96184682846069	1.24520659446716	0.0628133341670036	0.333855122327805	0	0
"31"	31	"Hvor"	"hvor"	"hvor"	"where"	40	40	"n"	"left"	"m"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	10	0	1	3	5	0	0	1	8	12.3915238857	1.01497297444912	1.67561981335764	0.402730291220256	1.25408351421356	-0.239425346255302	1.98664844036102	1.23333537578583	0.0484384298324585	-0.363847821950912	0	0
"32"	32	"er"	"er"	"være"	"be"	127	199	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	2	5	0	0	2	7	12.6813610077	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"33"	33	"du?"	"du"	"du"	"you"	100	141	"n"	"left"	"m"	0	0	0	1	0	0	0	0	0	1	0	1	0	1	10	3	3	1	5	0	0	3	6	12.8326249599	0.107571401583703	-0.0408333846657695	1.34009177895258	0.106431804597378	0.414220213890076	1.42227685451508	2.12437057495117	0.68094265460968	0.00115051143802702	0	0
"34"	34	"Det"	"det"	"det"	"that"	149	149	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	1	5	5	0	0	4	5	13.365942049	1.41379864859633	0.0422243252362958	0.0445910731915506	0.334606140851974	0.0711764320731163	0.973927080631256	0.587828814983368	-0.082622617483139	-0.0270473901182413	1	0
"35"	35	"er"	"er"	"være"	"be"	127	199	"n"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2	4	5	0	0	5	4	13.5525250911	0.522006331939456	-0.00779149567692305	0.0485891360193624	0.185118660330772	0.462901026010513	1.60361444950104	0.970825672149658	0.101663790643215	0.189993605017662	0	0
"36"	36	"mørkt"	"mørkt"	"mørk"	"dark"	2	2	"y"	"left"	"m"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3	3	5	0	0	6	3	13.6222210407	1.58236708572665	-1.28765612162852	-0.258575982368809	-0.459263116121292	0.230846092104912	0.464687407016754	-0.376725971698761	0.449793457984924	-0.00636334531009197	0	0
"37"	37	"her"	"her"	"her"	"here"	80	80	"n"	"left"	"m"	1	0	0	0	0	0	0	0	0	0	0	1	0	0	11	0	4	2	5	0	0	7	2	14.0750220299	0.336593338630228	0.451888413350025	0.171419819923031	0.450279861688614	0.207043543457985	1.96184682846069	1.24520659446716	0.0628133341670036	0.333855122327805	0	0
